Hour,Demand_MW,Solar_Available_MW,Solar_Dispatch_MW,Wind_Speed_mps,Wind_Available_MW,Wind_Dispatch_MW,Hydro_Available_MW,Hydro_Dispatch_MW,Battery_Charge_MW,Battery_Discharge_MW,Battery_SOC_Percent,Battery_Energy_MWh,Renewable_Dispatch_MW,Renewable_Curtailment_MW,Fossil_Grid_Support_MW,Total_Supply_MW,Reserve_MW,Reserve_Margin_Percent,Renewable_Ramp_MW,Renewable_Ramp_Percent,Frequency_Hz,Frequency_Deviation_Hz,Voltage_pu,Voltage_Deviation_pu,Instantaneous_Stability,Wind_Capacity_Factor_Percent,Hydro_Loading_Percent,Hydro_Gate_Opening_Percent,Water_Discharge_m3s,Carbon_Emission_kg,Net_Load_Solar_Only_MW,Net_Load_Solar_Wind_MW,Post_Flexibility_Residual_Load_Hydro_MW,Post_Flexibility_Residual_Load_Hydro_BESS_MW,Net_Load_With_Hydro_MW,Net_Load_With_BESS_MW,Duck_Ramp_Solar_Only_MW,Duck_Ramp_With_Wind_MW,Duck_Ramp_With_Hydro_MW,Duck_Ramp_With_BESS_MW,Rolling_Frequency_Hz,Rolling_Voltage_pu,Rolling_Reserve_Margin_Percent,Grid_Stability_Window
0,82.0,0.0,0.0,6.2,4.969500293944739,4.969500293944739,23.87,23.87,0.0,17.5,41.684210526315795,29.178947368421053,46.33950029394474,0.0,35.66049970605526,82.0,95.29099941211051,116.20853586842745,46.33950029394474,56.51158572432285,49.95,-0.04999999999999716,1.01,0.010000000000000009,STABLE,12.423750734861846,70.0,49.0,68.25,29241.609758965315,82.0,77.03049970605527,53.16049970605526,35.66049970605526,53.16049970605526,35.66049970605526,0.0,0.0,0.0,0.0,,,,INITIALIZING
1,78.0,0.0,0.0,6.0,4.444444444444445,4.444444444444445,23.87,23.87,0.0,14.42,20.0,14.0,42.73444444444445,3.552713678800501e-15,35.26555555555555,78.0,99.42111111111112,127.46296296296296,-3.605055849500289,-4.6218664737183195,50.026890667631406,0.026890667631406018,1.01,0.010000000000000009,STABLE,11.11111111111111,70.0,49.0,68.25,28917.75555555555,78.0,73.55555555555556,49.68555555555555,35.26555555555555,49.68555555555555,35.26555555555555,-4.0,-3.4749441504997094,-3.4749441504997094,-0.3949441504997111,,,,INITIALIZING
2,75.0,0.0,0.0,5.8,3.953251028806584,3.953251028806584,23.87,23.87,0.0,0.0,20.0,14.0,27.823251028806585,0.0,47.176748971193405,74.99999999999999,114.82349794238681,153.09799725651573,-14.911193415637864,-19.88159122085049,49.950592043895746,-0.04940795610425397,1.01,0.010000000000000009,STABLE,9.883127572016459,70.0,49.0,68.25,38684.934156378586,75.0,71.04674897119341,47.176748971193405,47.176748971193405,47.176748971193405,47.176748971193405,-3.0,-2.508806584362148,-2.508806584362148,11.911193415637854,49.97582757050905,1.01,132.2564986959687,STABLE WINDOW
3,73.0,0.0,0.0,5.5,3.2774838330393887,3.2774838330393887,23.87,23.87,0.0,0.0,20.0,14.0,27.147483833039388,0.0,45.85251616696061,73.0,116.17503233392122,159.14387990948114,-0.6757671957671967,-0.9257084873523242,50.04537145756324,0.04537145756324179,1.01,0.010000000000000009,STABLE,8.193709582598471,70.0,49.0,68.25,37599.0632569077,73.0,69.72251616696062,45.85251616696061,45.85251616696061,45.85251616696061,45.85251616696061,-2.0,-1.3242328042327927,-1.3242328042327927,-1.3242328042327927,50.00761805636347,1.01,146.56828004298663,STABLE WINDOW
4,72.0,0.0,0.0,5.2,2.6715579071134625,2.6715579071134625,23.87,23.87,0.0,0.0,20.0,14.0,26.541557907113464,0.0,45.45844209288653,72.0,117.38688418577307,163.03733914690704,-0.6059259259259235,-0.8415637860082271,50.045792181069956,0.04579218106995597,1.01,0.010000000000000009,STABLE,6.678894767783656,70.0,49.0,68.25,37275.92251616695,72.0,69.32844209288653,45.45844209288653,45.45844209288653,45.45844209288653,45.45844209288653,-1.0,-0.39407407407408357,-0.39407407407408357,-0.39407407407408357,50.01391856084299,1.01,158.42640543763466,STABLE WINDOW
5,76.0,2.75,2.75,5.0,2.3045267489711936,2.3045267489711936,24.552,24.552,0.0,0.0,20.0,14.0,29.60652674897119,0.0,46.3934732510288,76.0,111.9389465020576,147.28808750270738,3.064968841857727,4.032853739286483,50.02983573130357,0.029835731303570867,1.01,0.010000000000000009,STABLE,5.761316872427984,71.99999999999999,50.399999999999984,70.19999999999999,38042.64806584361,73.25,70.9454732510288,46.3934732510288,46.3934732510288,46.3934732510288,46.3934732510288,1.25,1.617031158142268,0.935031158142273,0.935031158142273,50.04033312331226,1.01,156.48976885303185,STABLE WINDOW
6,85.0,8.25,8.25,5.4,3.0679365079365084,3.0679365079365084,25.575000000000003,25.575000000000003,0.0,0.0,20.0,14.0,36.89293650793651,0.0,48.10706349206349,85.0,98.38912698412697,115.75191409897292,7.28640975896532,8.572246775253317,50.00713876612373,0.0071387661237309885,1.01,0.010000000000000009,STABLE,7.669841269841271,75.00000000000001,52.50000000000001,73.12500000000001,39447.79206349206,76.75,73.68206349206349,48.10706349206349,48.10706349206349,48.10706349206349,48.10706349206349,3.5,2.7365902410346905,1.7135902410346873,1.7135902410346873,50.02758889283242,1.01,142.0257802495291,STABLE WINDOW
7,96.0,16.5,16.5,6.1,4.702669018224573,4.702669018224572,26.598000000000003,26.598000000000003,0.0,0.0,20.0,14.0,47.800669018224575,0.0,48.19933098177543,96.0,77.59666196355086,80.82985621203214,10.907732510288064,11.362221364883398,49.9836038212816,-0.016396178718402155,1.0080829856212032,0.008082985621203242,STABLE,11.75667254556143,78.0,54.599999999999994,76.05,39523.45140505586,79.5,74.79733098177543,48.19933098177543,48.19933098177543,48.19933098177543,48.19933098177543,2.75,1.1152674897119397,0.09226748971194354,0.09226748971194354,50.00685943956963,1.009360995207068,114.62328593790414,STABLE WINDOW
8,108.0,26.4,26.4,6.8,6.759129923574367,6.759129923574367,27.28,27.28,0.0,0.0,20.0,14.0,60.43912992357437,3.552713678800501e-15,47.56087007642563,108.0,53.00174015285127,49.07568532671414,12.638460905349795,11.702278616064625,49.96602644958303,-0.0339735504169667,1.0049075685326714,0.00490756853267138,STABLE,16.897824808935916,80.0,56.0,78.0,38999.913462669014,81.6,74.84087007642563,47.56087007642563,47.56087007642563,47.56087007642563,47.56087007642563,2.0999999999999943,0.04353909465019967,-0.6384609053498025,-0.6384609053498025,49.98558967899612,1.0076635180512916,81.88581854590639,STABLE WINDOW
9,116.0,35.75,35.75,7.2,8.142222222222223,8.142222222222223,27.962,27.962,0.0,0.0,20.0,14.0,71.85422222222222,0.0,44.14577777777778,116.0,30.85355555555556,26.597892720306515,11.41509229864785,9.84059680917918,49.96409596231426,-0.035904037685739354,1.0026597892720306,0.0026597892720305882,STABLE,20.355555555555558,81.99999999999999,57.399999999999984,79.94999999999999,36199.537777777776,80.25,72.10777777777778,44.14577777777778,44.14577777777778,44.14577777777778,44.14577777777778,-1.3499999999999943,-2.733092298647847,-3.415092298647849,-3.415092298647849,49.971242077726295,1.0052167811419686,52.16781141968426,STABLE WINDOW
